Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1742.1651586477958
FDW14,OUT017,2192.4632072073423
NCN55,OUT010,745.2551305863032
FDQ58,OUT017,2678.2423063871224
FDY38,OUT027,4956.502712815995
FDH56,OUT046,1742.1651586477958
FDL48,OUT018,2151.5050398537514
FDC48,OUT027,3892.471490552113
FDN33,OUT045,2192.4632072073423
FDA36,OUT017,2678.2423063871224
FDT44,OUT017,2192.4632072073423
FDQ56,OUT045,2192.4632072073423
NCC54,OUT019,647.5685859827722
FDU11,OUT049,1742.1651586477958
DRL59,OUT013,2302.2162628430906
FDM24,OUT049,2183.8807631375444
FDI57,OUT045,2678.2423063871224
DRC12,OUT018,2737.1549305964563
NCM42,OUT027,3892.471490552113
FDA46,OUT010,676.3141626063406
FDA31,OUT013,2921.6105241676673
NCJ31,OUT035,2678.1996994801366
FDG52,OUT046,1393.3871566813445
NCL19,OUT019,594.1103436002086
FDS10,OUT035,2683.5406130699566
FDX22,OUT010,745.2551305863032
NCF19,OUT035,1844.7957828978306
NCE06,OUT046,2183.8807631375444
DRC27,OUT046,2464.0957107149975
FDE21,OUT035,2195.9766470762315
NCR42,OUT019,563.0922648295153
FDX51,OUT018,2737.1549305964563
NCR06,OUT018,2151.5050398537514
FDU31,OUT027,4956.502712815995
FDU59,OUT017,2678.2423063871224
FDR03,OUT027,4956.502712815995
FDS49,OUT027,3892.471490552113
FDD48,OUT010,645.1366363896364
NCF18,OUT017,2678.2423063871224
NCD43,OUT027,3892.471490552113
NCD54,OUT018,2737.1549305964563
FDY19,OUT010,645.1366363896364
NCY54,OUT017,2678.2423063871224
NCL19,OUT018,2737.1549305964563
FDP23,OUT010,745.2551305863032
FDC26,OUT013,2613.649503330824
FDR14,OUT010,659.5603949203377
NCS41,OUT035,2683.5406130699566
FDF41,OUT035,2678.1996994801366
FDU34,OUT046,1742.1651586477958
DRH11,OUT046,1393.3871566813445
FDM03,OUT013,2613.649503330824
FDS31,OUT017,2678.2423063871224
FDJ20,OUT017,2192.4632072073423
FDV44,OUT027,4413.667857001392
FDG02,OUT049,2183.8807631375444
FDA09,OUT013,2921.6105241676673
FDT04,OUT013,2302.2162628430906
FDL58,OUT019,647.5685859827722
FDE52,OUT045,2192.4632072073423
FDW12,OUT035,2683.5406130699566
FDL51,OUT017,2672.9013927973024
NCY42,OUT027,4413.667857001392
FDR07,OUT017,2192.4632072073423
FDN40,OUT045,2678.2423063871224
FDB35,OUT027,3892.471490552113
FDA22,OUT017,2678.2423063871224
NCL06,OUT046,2464.0957107149975
FDI35,OUT013,2921.6105241676673
NCW42,OUT045,2672.9013927973024
NCX06,OUT049,2183.8807631375444
FDC37,OUT027,3892.471490552113
FDZ14,OUT018,2426.04195630992
DRG49,OUT049,2466.6466673171694
NCG06,OUT045,2672.9013927973024
DRC36,OUT045,2678.2423063871224
FDV21,OUT019,565.9332065922275
FDB53,OUT046,2183.8807631375444
DRP47,OUT019,647.5685859827722
FDA14,OUT013,2921.6105241676673
DRC24,OUT035,2683.5406130699566
FDW21,OUT018,2426.04195630992
NCH29,OUT046,1742.1651586477958
FDU58,OUT013,2921.6105241676673
FDY27,OUT017,2678.2423063871224
FDV56,OUT035,2195.9766470762315
FDT59,OUT046,2464.0957107149975
FDB23,OUT046,2464.0957107149975
FDR49,OUT045,1843.0493611747465
FDB03,OUT010,745.2551305863032
FDN39,OUT045,2678.2423063871224
FDX02,OUT027,4956.502712815995
FDQ16,OUT027,3892.471490552113
FDU35,OUT018,2426.04195630992
NCT29,OUT013,2613.649503330824
FDZ27,OUT046,1393.3871566813445
FDN57,OUT017,2678.2423063871224
FDA03,OUT018,2737.1549305964563
FDZ36,OUT045,2678.2423063871224
NCU05,OUT013,2613.649503330824
FDT39,OUT018,2737.1549305964563
FDK60,OUT017,2192.4632072073423
FDZ25,OUT017,2678.2423063871224
FDG12,OUT046,1742.1651586477958
DRB01,OUT019,594.1103436002086
NCC43,OUT027,4956.502712815995
FDX13,OUT019,647.5685859827722
FDM22,OUT049,1393.3871566813445
FDJ03,OUT027,3348.7050200905232
FDU14,OUT018,3070.3706727418853
FDB33,OUT010,676.3141626063406
FDP27,OUT046,2183.8807631375444
FDO38,OUT010,645.1366363896364
FDE28,OUT027,4956.502712815995
FDO27,OUT035,2195.9766470762315
DRL23,OUT027,3892.471490552113
FDS28,OUT046,1393.3871566813445
FDX24,OUT013,2613.649503330824
FDZ02,OUT035,2195.9766470762315
FDL46,OUT045,2192.4632072073423
FDS60,OUT027,4413.667857001392
NCO06,OUT017,1843.0493611747465
FDO16,OUT035,2195.9766470762315
FDC60,OUT049,1742.1651586477958
FDA48,OUT018,3070.3706727418853
FDZ36,OUT027,4413.667857001392
FDK27,OUT045,2192.4632072073423
FDW23,OUT018,2151.5050398537514
FDM14,OUT018,2426.04195630992
FDM14,OUT013,2613.649503330824
FDW60,OUT018,2737.1549305964563
FDE21,OUT013,2613.649503330824
NCM42,OUT035,2195.9766470762315
FDY59,OUT010,645.1366363896364
DRI49,OUT049,1742.1651586477958
FDT28,OUT019,594.1103436002086
FDQ22,OUT018,2151.5050398537514
FDR60,OUT049,1742.1651586477958
FDC50,OUT019,565.9332065922275
FDV24,OUT013,2921.6105241676673
DRF48,OUT010,676.3141626063406
FDQ47,OUT046,1393.3871566813445
DRN36,OUT049,1742.1651586477958
NCY06,OUT035,2195.9766470762315
FDE52,OUT035,2195.9766470762315
NCB54,OUT045,2192.4632072073423
NCF31,OUT035,2683.5406130699566
FDJ08,OUT027,4413.667857001392
NCC07,OUT017,2192.4632072073423
NCD19,OUT027,3348.7050200905232
FDL46,OUT049,1742.1651586477958
FDM20,OUT045,2672.9013927973024
NCI06,OUT010,676.3141626063406
DRM11,OUT035,2678.1996994801366
NCH07,OUT018,2737.1549305964563
FDS23,OUT013,2613.649503330824
FDO49,OUT018,2151.5050398537514
FDS35,OUT049,1393.3871566813445
DRK39,OUT045,2192.4632072073423
DRI39,OUT049,1393.3871566813445
FDV04,OUT017,2678.2423063871224
NCN14,OUT035,2683.5406130699566
FDH08,OUT013,3373.3729938250594
FDS20,OUT046,2183.8807631375444
FDV40,OUT049,1742.1651586477958
FDZ48,OUT010,645.1366363896364
FDS24,OUT027,3892.471490552113
FDK44,OUT049,2183.8807631375444
FDS48,OUT045,2678.2423063871224
FDK26,OUT010,676.3141626063406
FDD23,OUT045,2678.2423063871224
NCH54,OUT017,2678.2423063871224
NCP14,OUT010,645.1366363896364
FDM60,OUT010,659.5603949203377
FDV24,OUT017,2678.2423063871224
FDH08,OUT018,3070.3706727418853
FDS12,OUT027,3892.471490552113
FDR39,OUT027,4413.667857001392
FDP12,OUT027,3348.7050200905232
DRF60,OUT027,4956.502712815995
FDC09,OUT035,2195.9766470762315
FDF50,OUT018,2737.1549305964563
FDG28,OUT035,2678.1996994801366
NCE19,OUT017,1843.0493611747465
NCM53,OUT010,645.1366363896364
NCN18,OUT049,1742.1651586477958
FDF32,OUT035,2683.5406130699566
FDF11,OUT013,3373.3729938250594
DRI59,OUT049,2466.6466673171694
NCG54,OUT035,2683.5406130699566
FDM44,OUT046,1742.1651586477958
FDT57,OUT018,3070.3706727418853
FDV24,OUT046,2183.8807631375444
FDI50,OUT019,647.5685859827722
FDS09,OUT035,1844.7957828978306
NCC31,OUT027,4413.667857001392
FDQ07,OUT019,647.5685859827722
FDC22,OUT017,2678.2423063871224
FDZ56,OUT046,2183.8807631375444
FDZ40,OUT019,563.0922648295153
FDS46,OUT027,3892.471490552113
DRD24,OUT045,2678.2423063871224
FDV45,OUT017,2678.2423063871224
FDL26,OUT045,2678.2423063871224
FDA56,OUT018,2426.04195630992
FDN27,OUT046,1742.1651586477958
FDM20,OUT049,2466.6466673171694
FDO16,OUT017,2192.4632072073423
FDL03,OUT035,2683.5406130699566
FDE58,OUT046,1742.1651586477958
FDI02,OUT027,3892.471490552113
NCC55,OUT019,563.0922648295153
FDR03,OUT018,3070.3706727418853
FDB14,OUT017,2192.4632072073423
FDR45,OUT013,3373.3729938250594
NCN07,OUT017,2192.4632072073423
FDM51,OUT019,565.9332065922275
FDT52,OUT027,4956.502712815995
FDL26,OUT046,2183.8807631375444
NCZ42,OUT046,2464.0957107149975
DRI47,OUT019,594.1103436002086
FDW40,OUT013,2921.6105241676673
FDN34,OUT046,2183.8807631375444
FDS01,OUT035,2683.5406130699566
NCG55,OUT045,2192.4632072073423
FDC11,OUT035,2195.9766470762315
FDX35,OUT018,3070.3706727418853
NCB06,OUT046,2183.8807631375444
FDR09,OUT019,647.5685859827722
FDC53,OUT017,2192.4632072073423
FDY45,OUT013,3373.3729938250594
FDA22,OUT010,676.3141626063406
FDE02,OUT035,2195.9766470762315
FDW21,OUT045,2192.4632072073423
FDV34,OUT046,1393.3871566813445
FDS59,OUT049,1742.1651586477958
NCW17,OUT017,2192.4632072073423
NCK54,OUT046,1742.1651586477958
FDG17,OUT019,647.5685859827722
FDG35,OUT017,2678.2423063871224
FDD08,OUT010,659.5603949203377
NCO07,OUT017,2672.9013927973024
FDJ10,OUT010,676.3141626063406
FDW36,OUT017,2192.4632072073423
FDW21,OUT010,645.1366363896364
FDY19,OUT017,2192.4632072073423
DRE03,OUT013,2302.2162628430906
NCC55,OUT049,1393.3871566813445
FDH52,OUT010,659.5603949203377
FDO09,OUT017,2672.9013927973024
FDU43,OUT045,2672.9013927973024
FDX09,OUT010,676.3141626063406
FDH40,OUT019,565.9332065922275
FDW58,OUT017,2192.4632072073423
FDC47,OUT017,2672.9013927973024
NCR41,OUT035,2195.9766470762315
DRG49,OUT035,2678.1996994801366
FDC52,OUT027,4413.667857001392
FDY13,OUT046,1393.3871566813445
FDY35,OUT013,2302.2162628430906
FDI35,OUT017,2678.2423063871224
NCU18,OUT049,2183.8807631375444
FDY33,OUT018,2737.1549305964563
FDC15,OUT027,4413.667857001392
FDU01,OUT049,2183.8807631375444
NCU42,OUT046,2183.8807631375444
NCV29,OUT018,2737.1549305964563
NCY30,OUT017,2678.2423063871224
FDQ46,OUT049,1742.1651586477958
FDG58,OUT027,4413.667857001392
FDK33,OUT017,2672.9013927973024
NCD07,OUT045,2192.4632072073423
NCX29,OUT027,4413.667857001392
NCT42,OUT013,2921.6105241676673
DRN59,OUT035,1844.7957828978306
FDI44,OUT035,2195.9766470762315
FDA45,OUT049,2183.8807631375444
FDP31,OUT045,1843.0493611747465
FDY01,OUT046,1742.1651586477958
FDT09,OUT018,2426.04195630992
DRH03,OUT027,3892.471490552113
FDA36,OUT018,2737.1549305964563
NCF31,OUT017,2678.2423063871224
FDG14,OUT049,2183.8807631375444
FDG28,OUT027,4956.502712815995
FDU14,OUT049,2466.6466673171694
FDY47,OUT019,565.9332065922275
FDI56,OUT049,1742.1651586477958
DRD01,OUT013,2302.2162628430906
FDM22,OUT046,1393.3871566813445
FDH33,OUT013,2302.2162628430906
DRZ24,OUT013,2613.649503330824
NCQ38,OUT046,1742.1651586477958
FDO16,OUT027,3892.471490552113
FDU07,OUT027,4413.667857001392
NCB07,OUT013,2921.6105241676673
FDU48,OUT045,2192.4632072073423
NCM43,OUT045,2678.2423063871224
FDR31,OUT010,676.3141626063406
DRK49,OUT018,2151.5050398537514
NCI30,OUT010,745.2551305863032
DRD60,OUT017,2678.2423063871224
NCG19,OUT046,2464.0957107149975
FDH12,OUT035,2195.9766470762315
FDM32,OUT035,2195.9766470762315
FDM27,OUT035,2683.5406130699566
NCU53,OUT027,4413.667857001392
NCQ18,OUT046,1742.1651586477958
FDS10,OUT013,2921.6105241676673
FDB33,OUT027,4413.667857001392
FDI12,OUT013,2613.649503330824
NCW42,OUT013,3373.3729938250594
NCC06,OUT018,2426.04195630992
FDW02,OUT017,2192.4632072073423
NCD43,OUT017,2192.4632072073423
FDM57,OUT018,2426.04195630992
FDA58,OUT017,2672.9013927973024
